csvw:table,uri,dcterms:source,csvw:title,skos:definition
agent-agent-role,http://rs.tdwg.org/dwc/dwc-dp/agent-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent-agent-role.json,AgentAgentRole,A role filled by an Agent with respect to another Agent.
agent-identifier,http://rs.tdwg.org/dwc/dwc-dp/agent-identifier,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent-identifier.json,AgentIdentifier,An identifier for an Agent.
agent-media,http://rs.tdwg.org/dwc/dwc-dp/agent-media,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent-media.json,AgentMedia,A link establishing an Agent as content in a Media entity.
agent,http://rs.tdwg.org/dwc/dwc-dp/agent,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent.json,Agent,"A person, group, organization or other entity that can act."
chronometric-age-agent-role,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-agent-role.json,ChronometricAgeAgentRole,A role filled by an Agent with respect to a chrono:ChronometricAge.
chronometric-age-assertion,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-assertion.json,ChronometricAgeAssertion,An Assertion made by an Agent about a chrono:ChronometricAge.
chronometric-age-media,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age-media,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-media.json,ChronometricAgeMedia,A link establishing a chrono:ChronometricAge as content of a Media entity.
chronometric-age-protocol,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age-protocol,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-protocol.json,ChronometricAgeProtocol,A link establishing a Protocol used in the determination of a chrono:ChronometricAge.
chronometric-age-reference,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age-reference,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-reference.json,ChronometricAgeReference,A bibliographic reference in which a chrono:ChronometricAge is mentioned.
chronometric-age,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age.json,ChronometricAge,An approximation of temporal position (in the sense conveyed by https://www.w3.org/TR/owl-time/#time:TemporalPosition) that is supported by evidence.
collection-agent-role,http://rs.tdwg.org/dwc/dwc-dp/collection-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection-agent-role.json,CollectionAgentRole,A role filled by an Agent with respect to a Collection.
collection-assertion,http://rs.tdwg.org/dwc/dwc-dp/collection-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection-assertion.json,CollectionAssertion,An Assertion made by an Agent about a Collection.
collection-media,http://rs.tdwg.org/dwc/dwc-dp/collection-media,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection-media.json,CollectionMedia,A link establishing a Collection as content of a Media entity.
collection,http://rs.tdwg.org/dwc/dwc-dp/collection,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection.json,Collection,A persistent formal repository in which dwc:MaterialEntities and/or Media are preserved.
event-agent-role,http://rs.tdwg.org/dwc/dwc-dp/event-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-agent-role.json,EventAgentRole,A role filled by an Agent with respect to a dwc:Event.
event-assertion,http://rs.tdwg.org/dwc/dwc-dp/event-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-assertion.json,EventAssertion,An Assertion made by an Agent about a dwc:Event.
event-identifier,http://rs.tdwg.org/dwc/dwc-dp/event-identifier,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-identifier.json,EventIdentifier,An identifier for a dwc:Event.
event-media,http://rs.tdwg.org/dwc/dwc-dp/event-media,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-media.json,EventMedia,A link establishing a dwc:Event as content of a Media entity.
event-protocol,http://rs.tdwg.org/dwc/dwc-dp/event-protocol,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-protocol.json,EventProtocol,A link establishing a Protocol used in a dwc:Event.
event-reference,http://rs.tdwg.org/dwc/dwc-dp/event-reference,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-reference.json,EventReference,A bibliographic reference in which a dwc:Event is mentioned.
event,http://rs.tdwg.org/dwc/dwc-dp/event,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event.json,Event,"An action, process, or set of circumstances occurring at a dcterms:Location during a period of time."
geological-context-media,http://rs.tdwg.org/dwc/dwc-dp/geological-context-media,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/geological-context-media.json,GeologicalContextMedia,A link establishing a dwc:GeologicalContext as content of a Media entity.
geological-context,http://rs.tdwg.org/dwc/dwc-dp/geological-context,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/geological-context.json,GeologicalContext,"A set of geological designations, such as stratigraphy, that qualifies a dwc:Event."
identification-agent-role,http://rs.tdwg.org/dwc/dwc-dp/identification-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/identification-agent-role.json,IdentificationAgentRole,A role filled by an Agent with respect to a dwc:Identification.
identification-taxon,http://rs.tdwg.org/dwc/dwc-dp/identification-taxon,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/identification-taxon.json,IdentificationTaxon,A construct of components and positions of dwc:scientificNames in a dwc:Identification.
identification,http://rs.tdwg.org/dwc/dwc-dp/identification,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/identification.json,Identification,"A taxonomic determination (i.e., the assignment of dwc:Taxa to dwc:Organisms)."
material-agent-role,http://rs.tdwg.org/dwc/dwc-dp/material-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-agent-role.json,MaterialAgentRole,A role filled by an Agent with respect to a dwc:MaterialEntity.
material-assertion,http://rs.tdwg.org/dwc/dwc-dp/material-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-assertion.json,MaterialAssertion,An Assertion made by an Agent about a dwc:MaterialEntity.
material-identifier,http://rs.tdwg.org/dwc/dwc-dp/material-identifier,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-identifier.json,MaterialIdentifier,An identifier for a dwc:MaterialEntity.
material-media,http://rs.tdwg.org/dwc/dwc-dp/material-media,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-media.json,MaterialMedia,A link establishing a dwc:MaterialEntity as content of a Media entity.
material-protocol,http://rs.tdwg.org/dwc/dwc-dp/material-protocol,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-protocol.json,MaterialProtocol,A link establishing a Protocol used in the treatment of a dwc:MaterialEntity.
material-reference,http://rs.tdwg.org/dwc/dwc-dp/material-reference,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-reference.json,MaterialReference,A bibliographic reference in which a dwc:MaterialEntity is mentioned.
material,http://rs.tdwg.org/dwc/dwc-dp/material,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material.json,Material,"An entity that can be identified, exist for some period of time, and consist in whole or in part of physical matter while it exists."
media-agent-role,http://rs.tdwg.org/dwc/dwc-dp/media-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media-agent-role.json,MediaAgentRole,A role filled by an Agent with respect to a Media entity.
media-assertion,http://rs.tdwg.org/dwc/dwc-dp/media-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media-assertion.json,MediaAssertion,An Assertion made by an Agent about a Media entity.
media-identifier,http://rs.tdwg.org/dwc/dwc-dp/media-identifier,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media-identifier.json,MediaIdentifier,An identifier for a Media entity.
media,http://rs.tdwg.org/dwc/dwc-dp/media,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media.json,Media,"A dcmi:MediaType (dcmi:Sounds, dcmi:StillImages, dcmi:MovingImages or dcmi:Text) with other entities as content."
molecular-protocol-agent-role,http://rs.tdwg.org/dwc/dwc-dp/molecular-protocol-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/molecular-protocol-agent-role.json,MolecularProtocolAgentRole,A role filled by an Agent with respect to a MolecularProtocol.
molecular-protocol-assertion,http://rs.tdwg.org/dwc/dwc-dp/molecular-protocol-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/molecular-protocol-assertion.json,MolecularProtocolAssertion,An Assertion made by an Agent about a MolecularProtocol.
molecular-protocol-reference,http://rs.tdwg.org/dwc/dwc-dp/molecular-protocol-reference,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/molecular-protocol-reference.json,MolecularProtocolReference,A bibliographic reference in which a MolecularProtocol is mentioned.
molecular-protocol,http://rs.tdwg.org/dwc/dwc-dp/molecular-protocol,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/molecular-protocol.json,MolecularProtocol,A protocol used to derive and identify a nucleotide sequence from a dwc:MaterialEntity.
nucleotide-analysis-assertion,http://rs.tdwg.org/dwc/dwc-dp/nucleotide-analysis-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/nucleotide-analysis-assertion.json,NucleotideAnalysisAssertion,An Assertion made by an Agent about a NucleotideAnalysis.
nucleotide-analysis,http://rs.tdwg.org/dwc/dwc-dp/nucleotide-analysis,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/nucleotide-analysis.json,NucleotideAnalysis,"A link between a NucleotideSequence and a dwc:Event and a dwc:MaterialEntity from which it was derived, using a specified Protocol."
nucleotide-sequence,http://rs.tdwg.org/dwc/dwc-dp/nucleotide-sequence,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/nucleotide-sequence.json,NucleotideSequence,A digital representation of a nucleotide sequence.
occurrence-agent-role,http://rs.tdwg.org/dwc/dwc-dp/occurrence-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-agent-role.json,OccurrenceAgentRole,A role filled by an Agent with respect to a dwc:Occurrence.
occurrence-assertion,http://rs.tdwg.org/dwc/dwc-dp/occurrence-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-assertion.json,OccurrenceAssertion,An Assertion made by an Agent about a dwc:Occurrence.
occurrence-identifier,http://rs.tdwg.org/dwc/dwc-dp/occurrence-identifier,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-identifier.json,OccurrenceIdentifier,An identifier for a dwc:Occurrence.
occurrence-media,http://rs.tdwg.org/dwc/dwc-dp/occurrence-media,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-media.json,OccurrenceMedia,A link establishing a dwc:Occurrence as content of a Media entity.
occurrence-protocol,http://rs.tdwg.org/dwc/dwc-dp/occurrence-protocol,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-protocol.json,OccurrenceProtocol,A link establishing a Protocol used in the determination of a dwc:Occurrence.
occurrence-reference,http://rs.tdwg.org/dwc/dwc-dp/occurrence-reference,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-reference.json,OccurrenceReference,A bibliographic reference in which a dwc:Occurrence is mentioned.
occurrence,http://rs.tdwg.org/dwc/dwc-dp/occurrence,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence.json,Occurrence,A state of a dwc:Organism in a dwc:Event.
organism-interaction-agent-role,http://rs.tdwg.org/dwc/dwc-dp/organism-interaction-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-agent-role.json,OrganismInteractionAgentRole,A role filled by an Agent with respect to an OrganismInteraction.
organism-interaction-assertion,http://rs.tdwg.org/dwc/dwc-dp/organism-interaction-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-assertion.json,OrganismInteractionAssertion,An Assertion made by an Agent about an OrganismInteraction.
organism-interaction-media,http://rs.tdwg.org/dwc/dwc-dp/organism-interaction-media,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-media.json,OrganismInteractionMedia,A link establishing an OrganismInteraction as content of a Media entity.
organism-interaction-reference,http://rs.tdwg.org/dwc/dwc-dp/organism-interaction-reference,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-reference.json,OrganismInteractionReference,A bibliographic reference in which an OrganismInteraction is mentioned.
organism-interaction,http://rs.tdwg.org/dwc/dwc-dp/organism-interaction,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction.json,OrganismInteraction,An interaction between two dwc:Organisms during a dwc:Event.
phylogenetic-tree-assertion,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-assertion.json,PhylogeneticTreeAssertion,An Assertion made by an Agent about a PhylogeneticTree.
phylogenetic-tree-identifier,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-identifier,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-identifier.json,PhylogeneticTreeIdentifier,An identifier for a PhylogeneticTree.
phylogenetic-tree-media,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-media,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-media.json,PhylogeneticTreeMedia,A link establishing a PhylogeneticTree as content of a Media entity.
phylogenetic-tree-protocol,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-protocol,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-protocol.json,PhylogeneticTreeProtocol,A link establishing a Protocol used in the determination of a PhylogeneticTree.
phylogenetic-tree-reference,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-reference,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-reference.json,PhylogeneticTreeReference,A bibliographic reference in which a PhylogeneticTree is mentioned.
phylogenetic-tree-tip-assertion,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-tip-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-tip-assertion.json,PhylogeneticTreeTipAssertion,An Assertion made by an Agent about a PhylogeneticTreeTip.
phylogenetic-tree-tip,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-tip,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-tip.json,PhylogeneticTreeTip,A group of Taxa at the end of a branch of a PhylogeneticTree as determined from relationships between dwc:Organisms.
phylogenetic-tree,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree.json,PhylogeneticTree,A branching diagram that shows the evolutionary relationships between dwc:Organisms.
protocol-reference,http://rs.tdwg.org/dwc/dwc-dp/protocol-reference,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/protocol-reference.json,ProtocolReference,A bibliographic reference in which a Protocol is mentioned.
protocol,http://rs.tdwg.org/dwc/dwc-dp/protocol,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/protocol.json,Protocol,A method used during an action.
reference,http://rs.tdwg.org/dwc/dwc-dp/reference,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/reference.json,Reference,A bibliographic reference in which an entity is mentioned.
relationship,http://rs.tdwg.org/dwc/dwc-dp/relationship,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/relationship.json,Relationship,A specification for a relationship of a subject entity to a related entity.
survey-agent-role,http://rs.tdwg.org/dwc/dwc-dp/survey-agent-role,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-agent-role.json,SurveyAgentRole,A role filled by an Agent with respect to a Survey.
survey-assertion,http://rs.tdwg.org/dwc/dwc-dp/survey-assertion,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-assertion.json,SurveyAssertion,An Assertion made by an Agent about a Survey.
survey-identifier,http://rs.tdwg.org/dwc/dwc-dp/survey-identifier,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-identifier.json,SurveyIdentifier,An identifier for a Survey.
survey-protocol,http://rs.tdwg.org/dwc/dwc-dp/survey-protocol,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-protocol.json,SurveyProtocol,A link establishing a Protocol used in a Survey.
survey-reference,http://rs.tdwg.org/dwc/dwc-dp/survey-reference,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-reference.json,SurveyReference,A bibliographic reference in which a Survey is mentioned.
survey-target,http://rs.tdwg.org/dwc/dwc-dp/survey-target,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-target.json,SurveyTarget,A specification of a characteristic of dwc:Occurrence that was included or excluded in a Survey.
survey,http://rs.tdwg.org/dwc/dwc-dp/survey,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey.json,Survey,A biotic survey.
